cancertype	histological_type	sample_counts	cancertype_fullname
TGCT	Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Teratoma (Mature)	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Yolk Sac Tumor	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Embryonal Carcinoma	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Choriocarcinoma	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Embryonal Carcinoma	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Teratoma (Mature)	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS|Non-Seminoma; Choriocarcinoma	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS|Non-Seminoma; Embryonal Carcinoma	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS|Non-Seminoma; Teratoma (Mature)	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Immature)	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Yolk Sac Tumor	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Teratoma (Immature)	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Teratoma (Mature)|Seminoma; NOS	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|[Not Available]|[Not Available]|[Not Available]	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Yolk Sac Tumor	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)|Seminoma; NOS	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|[Not Available]	1	Testicular Germ Cell Tumors
TGCT	Seminoma; NOS	64	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma	15	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor	4	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Yolk Sac Tumor	3	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Seminoma; NOS	2	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Mature)	2	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Embryonal Carcinoma|Seminoma; NOS	2	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Yolk Sac Tumor	2	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor	6	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Embryonal Carcinoma	2	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Teratoma (Mature)|Seminoma; NOS|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor	2	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Teratoma (Immature)	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Choriocarcinoma	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Teratoma (Mature)	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Choriocarcinoma|Non-Seminoma; Yolk Sac Tumor|Seminoma; NOS	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Teratoma (Mature)	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Choriocarcinoma|Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Yolk Sac Tumor|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)	1	Testicular Germ Cell Tumors
TGCT	Non-Seminoma; Embryonal Carcinoma|Non-Seminoma; Teratoma (Mature)|Non-Seminoma; Teratoma (Immature)|Non-Seminoma; Yolk Sac Tumor	1	Testicular Germ Cell Tumors
THYM	Thymoma; Type B1|Thymoma; Type B2	1	Thymoma
THYM	Thymoma; Type B1	14	Thymoma
THYM	Thymoma; Type A|Thymoma; Type AB	2	Thymoma
THYM	Thymoma; Type B2|Thymoma; Type B3	3	Thymoma
THYM	Thymoma; Type C	11	Thymoma
THYM	Thymoma; Type AB	38	Thymoma
THYM	Thymoma; Type B2	28	Thymoma
THYM	Thymoma; Type A	15	Thymoma
THYM	Thymoma; Type B3	12	Thymoma
THCA	Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)	37	Thyroid carcinoma
THCA	Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)	102	Thyroid carcinoma
THCA	Thyroid Papillary Carcinoma - Classical/usual	359	Thyroid carcinoma
THCA	"Other; specify"	9	Thyroid carcinoma
UCS	Uterine Carcinosarcoma/ Malignant Mixed Mullerian Tumor (MMMT): NOS	24	Uterine Carcinosarcoma
UCS	Uterine Carcinosarcoma/ MMMT: Heterologous Type	20	Uterine Carcinosarcoma
UCS	Uterine Carcinosarcoma/MMMT: Homologous Type	13	Uterine Carcinosarcoma
UCEC	Mixed serous and endometrioid	22	Uterine Corpus Endometrial Carcinoma
UCEC	Endometrioid endometrial adenocarcinoma	411	Uterine Corpus Endometrial Carcinoma
UCEC	Serous endometrial adenocarcinoma	115	Uterine Corpus Endometrial Carcinoma
